asset_type,field,source_table,source_column,role
temple,asset__identity_status,assets,identity_status,FEATURE
temple,asset__built_year,assets,built_year,FEATURE
temple,asset__design_life_years,assets,design_life_years,FEATURE
temple,asset__material,assets,material,FEATURE
temple,asset__condition,assets,condition,CONTEXT_ONLY_DO_NOT_USE_AS_TARGET
temple,asset__representative_geometry,assets,representative_geometry,GEOMETRY_EXCLUDED
temple,asset__source_id,assets,source_id,FEATURE
temple,asset__confidence_score,assets,confidence_score,FEATURE
temple,asset__is_estimated,assets,is_estimated,FEATURE
temple,asset__created_at,assets,created_at,FEATURE
temple,asset__updated_at,assets,updated_at,FEATURE
temple,temple_engineering_evidence_verified__id,temple_engineering_evidence_verified,id,IDENTIFIER
temple,temple_engineering_evidence_verified__asset_code,temple_engineering_evidence_verified,asset_code,IDENTIFIER
temple,temple_engineering_evidence_verified__asset_name,temple_engineering_evidence_verified,asset_name,FEATURE
temple,temple_engineering_evidence_verified__canonical_name,temple_engineering_evidence_verified,canonical_name,FEATURE
temple,temple_engineering_evidence_verified__district,temple_engineering_evidence_verified,district,FEATURE
temple,temple_engineering_evidence_verified__evidence_type,temple_engineering_evidence_verified,evidence_type,FEATURE
temple,temple_engineering_evidence_verified__feature_name,temple_engineering_evidence_verified,feature_name,FEATURE
temple,temple_engineering_evidence_verified__text_value,temple_engineering_evidence_verified,text_value,FEATURE
temple,temple_engineering_evidence_verified__numeric_value,temple_engineering_evidence_verified,numeric_value,FEATURE
temple,temple_engineering_evidence_verified__unit,temple_engineering_evidence_verified,unit,FEATURE
temple,temple_engineering_evidence_verified__event_year,temple_engineering_evidence_verified,event_year,FEATURE
temple,temple_engineering_evidence_verified__material,temple_engineering_evidence_verified,material,FEATURE
temple,temple_engineering_evidence_verified__component,temple_engineering_evidence_verified,component,FEATURE
temple,temple_engineering_evidence_verified__evidence_strength,temple_engineering_evidence_verified,evidence_strength,FEATURE
temple,temple_engineering_evidence_verified__engineering_use,temple_engineering_evidence_verified,engineering_use,FEATURE
temple,temple_engineering_evidence_verified__source_authority,temple_engineering_evidence_verified,source_authority,FEATURE
temple,temple_engineering_evidence_verified__source_system,temple_engineering_evidence_verified,source_system,FEATURE
temple,temple_engineering_evidence_verified__source_url,temple_engineering_evidence_verified,source_url,FEATURE
temple,temple_engineering_evidence_verified__work_completion_confirmed,temple_engineering_evidence_verified,work_completion_confirmed,FEATURE
temple,temple_engineering_evidence_verified__is_structural_condition_label,temple_engineering_evidence_verified,is_structural_condition_label,LEAKAGE_EXCLUDED
temple,temple_engineering_evidence_verified__notes,temple_engineering_evidence_verified,notes,FEATURE
temple,temple_engineering_evidence_verified__verification_method,temple_engineering_evidence_verified,verification_method,FEATURE
temple,temple_engineering_evidence_verified__is_synthetic,temple_engineering_evidence_verified,is_synthetic,FEATURE
temple,temple_engineering_evidence_verified__is_derived,temple_engineering_evidence_verified,is_derived,FEATURE
